"Rating","Date","Title","Content","Reviewer","Verified","Brand Response"
"5","","","","","No",""
"5","14/11/2024","Vous avez bien fait de passer les prix","Vous retrouver votre principe de base qui est votre point fort c'est de votre des articles de sport de qualité sans trop gonfler les prix.j ai recommandé votre produit à plusieurs amis ils sont satisfaits.par la révision de prix espérons pour tt article.sachant que les potentiel acheteurs compare votre prix en Tunisie et en france.sachant que les frais de commercialisation ici bien basse main ouvre local","Iheb, Tunisia","Yes","Bonjour Iheb,  Merci infiniment pour votre avis. En réponse aux demandes de nos clients, nous avons récemment baissé les prix de plus de 200 articles afin de mieux répondre à leurs attentes et de les satisfaire pleinement.  La satisfaction de nos clients reste notre priorité absolue.  Je vous souhaite une excellente journée, à très vite.  Marwen Sportivement Service Client"
"4","10/11/2024","Très bon","Excellent","zied, Tunisia","Yes","Bonjour Zied, Je suis ravi de savoir que notre produit a répondu à vos attentes, merci pour votre retour. Passez une belle journée  Sportivement Hassine Conseiller Service Client"
"4","02/11/2024","CONFORTABLE","JE RECOMMANDE CE PRODUIT","GHAZI, Tunisia","Yes","Bonsoir Ghazi, Votre satisfaction est notre plus belle récompense, merci pour votre confiance. Bonne soirée  Sportivement Hassine Conseiller Service Client"
"5","06/09/2024","exellent","j adore decathlon","Sondes, Tunisia","Yes","Bonsoir Sondos, Merci pour votre avis Je suis ravi de constater que notre produit vous a apporté satisfaction. Vos encouragements sont très appréciés Passez une belle soirée  Sportivement Hassine Conseiller Service Client"
"5","29/07/2024","Couleurs","Il n ya que deux couleurs","Selim, Tunisia","Yes","Bonjour Selim,  Nous vous remercions d'avoir partagé votre avis avec nous.  Nous comprenons que vous aimeriez voir plus de couleurs pour nos chaussures. Actuellement, nous offrons ces deux couleurs en raison de la forte demande, mais nous travaillons constamment à élargir notre gamme de produits.  Nous apprécions vos suggestions et les prendrons en compte pour nos prochaines collections.  Restez à l'affût de nos mises à jour, car de nouvelles couleurs pourraient bientôt être disponibles.  Passez une excellente journée.  Oussama Conseiller Service Client"
"5","24/07/2024","Excellente expérience","Excellent produit, légèreté assurée","Jabeur, Tunisia","Yes","Bonsoir Jabeur ,  Je vous remercie pour votre avis et pour cette super note.  C'est un plaisir de lire votre satisfaction :) Ravis de voir que nos produits vous plaisent.  Je vous souhaite une bonne journée, à bientôt.   Zaï Nour ✌️  Conseillère service clients🤝"
"4","06/07/2024","satisfied","im really satisfied with it","Amine, Tunisia","Yes","Bonjour Amine, Merci infiniment Je suis enchanté de voir que notre produit a répondu à vos attentes. Passez une agréable journée  Sportivement Hassine Conseiller Service Client"
"5","09/05/2024","bon","Pas de remise","-amine, Tunisia","Yes","Bonjour Amine,  Tout d'abord, merci infiniment pour votre retour.  Votre feedback est d'une grande valeur pour nous.  Vous êtes toujours le bienvenu.  Excellente journée à vous.  Marwen Sportivement Service Client"
"5","14/04/2024","Excellent","NA","Chemseddine, Tunisia","Yes","Bonjour Chemseddine,  Je vous remercie infiniment pour votre retour.  C'est avec joie que j'apprends que nos produits ont répondu à vos attentes.  Excellente journée à vous, à très bientôt.  Marwen Sportivement Service Client"
