"Rating","Date","Title","Content","Reviewer","Verified","Brand Response"
"5","","N/A","","","No","No response"
"5","","","","","No","No response"
"5","13/05/2025","N/A","Good Product","Param, India","Yes","No response"
"5","13/05/2025","Güzel","Rahat","özkan, Türkiye","Yes","No response"
"4","13/05/2025","kalite süper","Çok fazla ağır ama çok kaliteli ürün öyle kırılma yamulma gibi bir durum olması imkansız.","Kenan, Türkiye","Yes","No response"
"5","13/05/2025","Wygodny leżak","Wygodny i lekki leżak. miał być na kempingi, ale używamy na tarasie ;-)","Anna, Poland","Yes","No response"
"5","13/05/2025","N/A","Un scaun pentru grădină sau camping de bună calitate cu reglaj și comoditate bună","Miky, Romania","Yes","No response"
"5","13/05/2025","N/A","好用好坐","Han, Taiwan","Yes","No response"
"5","12/05/2025","N/A","Assez confortable dommage qu’il n’y ait pas de t’épuise pied rétractable comme à l’ancienne","Laetitia, France","Yes","No response"
"5","12/05/2025","N/A","Aşırı rahat oturunca kalkmak istemez insan","Seyit ali, Türkiye","Yes","No response"
"5","12/05/2025","N/A","Hep küçük sandalyeler den alıyorduk birde bunu deneyelim dedik gerçekten efsane birşey çok rahat saatlerce otur hiç rahatsızlık hissi yok kesinlikle tavsiye ederim.","Mustafa, Türkiye","Yes","No response"
"5","12/05/2025","N/A","Přesně takovou jsme potřebovali. Lehce se dá složit a přenést. A cena super.","Blanka, Czechia","Yes","No response"
"4","12/05/2025","N/A","Calidad precio algo aceptable, tienen buen diseño y son estables y confortables","Eleazar, Spain","Yes","No response"
"4","12/05/2025","N/A","Muy estables y cómodas. Relación calidad precio un poco altas.","Eleazar, Spain","Yes","No response"
"5","11/05/2025","confortable","top","EG, France","Yes","No response"
"5","11/05/2025","N/A","Ok","faizal amin, Malaysia","Yes","No response"
"5","10/05/2025","N/A","Muy cómoda y ligera","Cristina, Spain","Yes","No response"
"5","10/05/2025","Great chairs","We bought one of these to replace a broken chair when travelling. liked it so much we went back and bought another two.","Glynn, United Kingdom","Yes","No response"
"5","09/05/2025","N/A","Very comfortable. Use it for dining and relaxing when campervaning","Peter, United Kingdom","Yes","No response"
"5","09/05/2025","N/A","Very practical and comfortable. Reclining angle is good. I usually use it at my farm. Need to make custom cover if carrying inside a car everyday as a slight cut could ruin the net fabric. A good buy . Prices nearly doubled after Covid. Still a worthy purchase .","Ajaybir, India","Yes","No response"
"5","08/05/2025","N/A","kaliteli ürün, esneme sarkma yapmadı. büyük arabası olanlar için ideal","mustafa, Türkiye","Yes","No response"
"5","08/05/2025","N/A","çok kaliteli malzemeden yapılmış. esneme sarkma yapmadı. bagajda taşıyacaksanız büyük arabaya ihtiyacınız olacak.","mustafa, Türkiye","Yes","No response"
"5","08/05/2025","Bardzo wygodne krzesło","Świetne, masywne i bardzo wygodne krzesło. Łatwo się składa i rozkłada. Do tej pory idealnie służyło mi na krótkich wypadach na ryby i pod namiot. Jest wygodniejsze od profesjonalnych foteli wędkarskich! Na plus również regulowane oparcie i możliwość rozłożenia bardziej na leżąco.","Anna, Poland","Yes","No response"
"4","08/05/2025","bardzo solidne lecz trochę ciężkie","fotele są bardzo solidne lecz trochę ciężkie ale ogólnie jakoś ci wykonanie jest super cena mogłaby być troszkę mniejsza.","Łukasz, Poland","Yes","No response"
"5","08/05/2025","sağlamlık, rahatlık ve konfor..","üründen çok memnun kaldım.","ahmetcan, Türkiye","Yes","No response"
"5","07/05/2025","N/A","Très bien","gerard, France","Yes","No response"
"5","07/05/2025","N/A","Çok rahat, sırt desteği güzel.","Kürşat, Türkiye","Yes","No response"
"5","07/05/2025","Odlicna!","Prezadovoljna sam! Cvrsta je i stvarno udobna za sjedenje.","Iva, Croatia","Yes","Poštovana Iva,  Hvala na objavljenoj recenziji, drago nam je da uživate u korištenju naših proizvoda. Slobodno istražite i ostalu ponudu na www.decathlon.hr.  Sportski pozdrav! Vaš Decathlon  Sara"
"5","07/05/2025","N/A","Peu encombrant et très confortable. J'ai acheté un 2eme.","GUILLAUME, France","Yes","No response"
"5","07/05/2025","N/A","ใช้ทุกวัน ดีมาก คุ้ม จะซื้อเพิ่มเลยครับ","Disayarich, Thailand","Yes","สวัสดีค่ะคุณDisayarich ขอบคุณมากค่ะที่รีวิวและแชร์ประสบการณ์ดี ๆ นะคะ 😊 ดีใจที่คุณลูกค้าพอใจกับเก้าอี้เท้าแขนแบบปรับเอนได้สำหรับตั้งแคมป์ค่ะ เก้าอี้รุ่นนี้ทนทานและใช้งานได้สะดวกมากสำหรับการตั้งแคมป์ หวังว่าจะทำให้การพักผ่อนกลางธรรมชาติของคุณลูกค้าสบายยิ่งขึ้นค่ะ ขอบคุณที่คิดจะซื้อเพิ่มนะคะ หวังว่าจะได้ดูแลคุณลูกค้าอีกในอนาคตค่ะ 🏕️✨ ขอแสดงความนับถือ Pornpat J."
"5","06/05/2025","polecam","Bardzo dobry zakup na lata","Joanna, Poland","Yes","No response"
"5","06/05/2025","N/A","Bardzo wygodny","Agnieszka, Poland","Yes","No response"
"5","06/05/2025","N/A","Çok rahat çok konforlu","Hamza, Türkiye","Yes","No response"
"5","06/05/2025","N/A","Muy comoda","JUAN MANUEL, Spain","Yes","No response"
"5","06/05/2025","N/A","Polecam. O wiele wygodniejsze niż takie standardowe krzesła kempingowe.","Krzysztof, Poland","Yes","No response"
"4","05/05/2025","N/A","Confortable, plutôt fin une fois plié.. bon rapport qualité prix et semble solide","Marianne, France","Yes","No response"
"4","05/05/2025","N/A","Es comoda para camping,","quiquibon, Spain","Yes","No response"
"5","05/05/2025","N/A","Es perfecta para mí cómoda","Lorenzo, Spain","Yes","No response"
"5","03/05/2025","N/A","Confortable et pratique","Kevin, Switzerland","Yes","No response"
"5","02/05/2025","Gayet pratik ve kullanışlı","Fiyat olarak biraz fazla ama sağlam ve kaliteli","Murat, Türkiye","Yes","No response"
"5","02/05/2025","konfor kalite güven..!","çok memnun kaldık süper 😍","Cesur, Türkiye","Yes","No response"
"5","02/05/2025","N/A","Çok büyük keyifle oturduğum ve iyi ki aldım dediğim sandalyem çok memnunum","hatice, Türkiye","Yes","No response"
"5","30/04/2025","Gut und preiswert","Wir haben vier dieser Stühle. Zwei zuhause und zwei fahren mit uns und dem Wohnmobil rum. Die im Wohnmobil rosten, lösen sich an den Sitzkanten auf und haben insgesamt an Spannkraft verloren. Trotzdem sind sie noch bequem. Die Stühle zuhause werden weniger genutzt und sind noch etwas besser in Schuss. Alter mindestens 5 Jahre. In Anbetracht der starken Nutzung würden wir die wieder kaufen. Wenn es schönere Farben gäbe.","Johannes, Germany","Yes","No response"
"5","30/04/2025","Perfecto","Muy cómoda","RAMON, Spain","Yes","No response"
"5","30/04/2025","N/A","非常实用，性价比很高，经济实惠，快递给力！","中国客户, China","Yes","No response"
"4","30/04/2025","N/A","Meg vagyok elégedve a használattal. Jól megalkotott termék. Tartós kényelmes könnyű.","Badopi, Hungary","Yes","No response"
"5","29/04/2025","N/A","Ekskluzywny design, przydatna regulacja poziomów odpoczynku, wygodny zagłówek.","Magdalena, Poland","Yes","No response"
"5","28/04/2025","N/A","özellikle Sezlog sorunu yasanan kamp alanlarinda mükemmel... birtane aldik bir tane daha alacagiz,","SADUMAN, Türkiye","Yes","No response"
"5","26/04/2025","sedia campeggio","comodissima, un po ingombrante ma molto molto comoda","Raffaella, Italy","Yes","No response"
"5","25/04/2025","N/A","","中国客户, China","Yes","No response"
"5","24/04/2025","N/A","Léger, maniable, confortable. Je recommande ce fauteuil.","Annie, France","Yes","No response"
"5","24/04/2025","Parasını hak eden bir ürün","elimde 2 adet vardı, 6 senedir kullanıyorum. Hic bir kırılma yırtılma olmadı. cocuk için bir tane daha aldık.","Savas, Türkiye","Yes","No response"
"5","24/04/2025","Kaliteli","Oturduğunuzda rahatlığı hissediyorsunuz,","Ayhan , Türkiye","Yes","No response"
"5","24/04/2025","Çok konforlu","ürün gerçekten çok konforlu fakat biraz fazla yer kaplıyor ve taşıması da zor, taşımak için tutunacak özel bir yeri yok, artık neresinden tutarsanız. Ama kurduktan sonra gerçekten konforuna diyecek yok.","İsa, Türkiye","Yes","No response"
"5","24/04/2025","Bien","Bien et confortables, plastiques un peu cheap pour 50€","Margaux, France","Yes","No response"
"5","24/04/2025","N/A","好用，最舒服了","中国客户, China","Yes","No response"
"5","23/04/2025","Super","Krzesła bardzo wygodne, idealne na plażę bądź kemping, o ile na kemping to wyciągamy z auta, rozkładamy i już. A na plażę trzeba nieraz kawał dojść, niestety nawet po złożeniu gabaryt jest dość spory i niesie się niewygodnie. Ale i tak warto bo siedzi się nawet bardzo przyjemnie, wolę to jiż leżenie plackiem na ręczniku🙂","Radosław, Poland","Yes","No response"
"5","21/04/2025","Siège confortable","Siège très confortable et réglage parfait pour toutes les morphologie","Aurelie, France","Yes","No response"
"5","18/04/2025","N/A","","中国客户, China","Yes","No response"
"4","17/04/2025","Parfait, réponds à mes attentes !","Super, belle chaise, très pratique, compacte Répond totalement à mes attentes","Marianne, France","Yes","No response"
"5","17/04/2025","silla estable","buena silla","Alexis, Spain","Yes","No response"
"5","16/04/2025","başarılı","oldukça kaliteli ve rahat","erdem, Türkiye","Yes","No response"
"5","15/04/2025","N/A","","中国客户, China","Yes","No response"
"5","14/04/2025","N/A","午休的好夥伴，放在陽台發呆也可以坐，透氣舒服","國峻, Taiwan","Yes","No response"
"5","14/04/2025","N/A","","中国客户, China","Yes","No response"
"5","10/04/2025","N/A","","中国客户, China","Yes","No response"
